sys_util,period,processors,task_util,NOFILTER,FILTER_90%,FILTER_99%,FILTER_99.9%
0.5,uni-long,1,uni-light,1.0,1.0,1.0,1.0
0.1,log-uni-moderate,1,uni-heavy,0.7597173144876325,0.7597173144876325,0.7597173144876325,0.7597173144876325
0.7000000000000001,uni-long,1,exp-light,0.98,1.0,1.0,1.0
0.7000000000000001,uni-long,1,uni-medium,0.99,0.99,0.99,0.99
0.5,uni-moderate,1,exp-medium,0.6950146627565984,0.6744868035190607,0.6744868035190607,0.6744868035190607
0.5,log-uni-long,1,exp-medium,1.0,1.0,1.0,1.0
0.2,uni-long,1,bimo-heavy,1.0,1.0,1.0,1.0
0.2,log-uni-short,1,exp-light,0.06,0.06,0.06,0.06
0.6,uni-short,1,uni-light,0.0,0.0,0.0,0.0
0.8,uni-short,1,exp-medium,0.0,0.0,0.0,0.0
0.2,log-uni-moderate,1,bimo-medium,0.647222222222222,0.6333333333333334,0.6416666666666659,0.6416666666666659
0.1,log-uni-moderate,1,exp-heavy,0.7992125984251967,0.7952755905511811,0.7952755905511811,0.7952755905511811
0.4,log-uni-long,1,bimo-light,1.0,1.0,1.0,1.0
0.1,uni-long,1,uni-medium,1.0,1.0,1.0,1.0
0.9,log-uni-moderate,1,bimo-medium,0.0,0.0,0.0,0.0
0.30000000000000004,uni-moderate,1,uni-heavy,0.86,0.8499999999999998,0.8499999999999998,0.8499999999999998
0.9,log-uni-moderate,1,uni-light,0.0,0.0,0.0,0.0
0.7000000000000001,uni-moderate,1,bimo-heavy,0.4496124031007752,0.47803617571059454,0.4935400516795864,0.4935400516795864
0.1,uni-moderate,1,bimo-heavy,0.9217391304347826,0.9217391304347826,0.9217391304347826,0.9217391304347826
0.8,log-uni-long,1,bimo-heavy,0.5809018567639254,0.6816976127320961,0.6896551724137931,0.694960212201592
0.6,uni-short,1,uni-medium,0.0,0.0,0.0,0.0
0.1,log-uni-moderate,1,bimo-light,0.7055214723926378,0.6993865030674842,0.6993865030674842,0.6993865030674842
0.8,uni-moderate,1,bimo-light,0.019999999999999997,0.029999999999999975,0.039999999999999994,0.039999999999999994
1.0,log-uni-long,1,exp-medium,0.0,0.0,0.0,0.0
1.0,uni-long,1,exp-medium,0.0,0.0,0.0,0.0
0.7000000000000001,uni-short,1,bimo-light,0.0,0.0,0.0,0.0
0.1,uni-long,1,uni-light,1.0,1.0,1.0,1.0
0.6,uni-moderate,1,exp-heavy,0.6705539358600584,0.6734693877551022,0.6763848396501457,0.6763848396501457
0.1,log-uni-moderate,1,bimo-heavy,0.7275641025641026,0.7211538461538461,0.7211538461538461,0.7211538461538461
0.30000000000000004,log-uni-long,1,uni-heavy,1.0,1.0,1.0,1.0
0.6,log-uni-moderate,1,uni-medium,0.30061349693251554,0.28834355828220876,0.2914110429447856,0.2914110429447856
0.9,uni-short,1,bimo-light,0.0,0.0,0.0,0.0
0.6,log-uni-moderate,1,bimo-heavy,0.40848806366047735,0.40848806366047746,0.41379310344827586,0.416445623342175
0.8,uni-long,1,bimo-heavy,0.62707182320442,0.7651933701657455,0.773480662983425,0.773480662983425
0.7000000000000001,log-uni-short,1,bimo-heavy,0.0,0.0,0.0,0.0
0.1,log-uni-short,1,exp-light,0.13333333333333341,0.12777777777777782,0.12777777777777782,0.12777777777777782
1.0,log-uni-long,1,uni-light,0.0,0.0,0.0,0.0
0.7000000000000001,log-uni-long,1,bimo-heavy,0.8933333333333333,0.92,0.92,0.92
0.7000000000000001,log-uni-moderate,1,uni-heavy,0.24916943521594703,0.25913621262458486,0.2624584717607973,0.2624584717607973
0.30000000000000004,uni-short,1,uni-medium,0.2825396825396823,0.26349206349206367,0.26349206349206367,0.26349206349206367
0.7000000000000001,uni-short,1,bimo-medium,0.0,0.0,0.0,0.0
0.1,uni-short,1,uni-heavy,0.5284974093264243,0.5284974093264243,0.5284974093264243,0.5284974093264243
0.6,log-uni-short,1,exp-heavy,0.0,0.0,0.0,0.0
1.0,log-uni-long,1,bimo-heavy,0.0,0.0,0.0,0.0
0.4,log-uni-moderate,1,exp-heavy,0.5012919896640826,0.47803617571059454,0.47803617571059454,0.47803617571059454
0.8,uni-short,1,bimo-heavy,0.0,0.0,0.0,0.0
0.6,uni-moderate,1,exp-medium,0.6016042780748663,0.5935828877005349,0.5935828877005349,0.5935828877005349
0.1,uni-moderate,1,bimo-medium,0.9259259259259259,0.9259259259259259,0.9259259259259259,0.9259259259259259
0.9,log-uni-long,1,bimo-light,0.009999999999999998,0.04999999999999999,0.05999999999999999,0.05999999999999999
0.5,uni-moderate,1,uni-heavy,0.7346278317152104,0.7249190938511325,0.7249190938511325,0.7249190938511325
0.9,log-uni-short,1,exp-heavy,0.0,0.0,0.0,0.0
0.7000000000000001,log-uni-long,1,uni-medium,0.8860759493670886,0.9177215189873418,0.9240506329113924,0.9240506329113924
0.5,log-uni-long,1,bimo-light,1.0,1.0,1.0,1.0
0.4,uni-long,1,exp-heavy,1.0,1.0,1.0,1.0
0.30000000000000004,log-uni-short,1,exp-medium,0.06862745098039216,0.06862745098039216,0.06862745098039216,0.06862745098039216
1.0,uni-short,1,exp-medium,0.0,0.0,0.0,0.0
0.9,uni-short,1,uni-medium,0.0,0.0,0.0,0.0
1.0,uni-short,1,bimo-heavy,0.0,0.0,0.0,0.0
1.0,log-uni-moderate,1,exp-medium,0.0,0.0,0.0,0.0
0.9,log-uni-short,1,exp-medium,0.0,0.0,0.0,0.0
